file	loc	exports	imports_internal	io_fs	io_proc	io_net	io_sqlite	io_env	singleton_state
actor-context.ts	103	13	types	n	n	n	n	n	y
analytics-cli.ts	149	1	analytics-types,model-cost	n	n	n	n	n	n
analytics-index.ts	2061	6	analytics-query,analytics-types,model-cost	y	n	n	y	n	n
analytics-query.ts	215	8	analytics-types	n	n	n	n	n	n
analytics-types.ts	174	16		n	n	n	n	n	n
api-client.ts	508	5	analytics-types,daemon-config,names,paths,service,task-boards-api,types,version	y	n	y	n	y	y
api-server.ts	1460	4	actor-context,analytics-query,analytics-types,attachments,attention-api,browser-api,browser-stream,browser-types,fs,git,learning-types,learning,pins-api,push-api,pwa,runtime-models-api,service,skills,stt-service,task-boards-api,task-boards-types,tasks-api,tasks-contract,terminal-api,terminal-stream,terminal-types,types,ui,version,warden-detect	y	n	y	n	n	n
attachment-unlock.ts	228	9	document-extract,memory-locator	n	n	n	n	n	n
attachments.ts	1308	27	attachment-unlock,document-extract,pdf-decrypt	y	n	n	n	n	n
attention-api.ts	399	16	attention-notifier,attention-service,attention-store,attention-types,types	n	n	n	n	n	n
attention-cli.ts	361	9	attention-types,tasks-cli	n	n	n	n	n	n
attention-notifier.ts	173	9	attention-types,core,notification-policy,push-types,service,types	n	n	n	n	n	n
attention-service.ts	574	3	attention-store,attention-types,io,paths,types	n	n	n	n	n	n
attention-sources.ts	619	3	attention-service,attention-types,service,session-tasks-store,tasks-types,types,warden-detect,warden-verdicts	n	n	n	n	n	n
attention-store.ts	597	17	attention-types,io,paths,tasks-store	y	n	n	n	n	n
attention-types.ts	333	37		n	n	n	n	n	n
attention.ts	56	87	attention-api,attention-cli,attention-notifier,attention-service,attention-sources,attention-store,attention-types,notification-policy	n	n	n	n	n	n
browser-api.ts	422	19	actor-context,browser-runtime,browser-service,browser-stream,browser-types,pins-store,types	n	n	n	n	n	n
browser-cli.ts	372	9	browser-api,browser-types	n	n	n	n	n	n
browser-display.ts	250	6	browser-types	y	y	n	n	y	n
browser-login.ts	1039	25	browser-display,browser-profile,browser-runtime,browser-types,paths	y	y	y	n	y	n
browser-playwright-client.ts	461	3	browser-types	y	y	n	n	y	n
browser-profile.ts	495	10	browser-types,paths	y	n	n	n	n	n
browser-runtime.ts	476	15	browser-playwright-client,browser-types,io	y	y	y	n	y	n
browser-service.ts	882	10	browser-display,browser-profile,browser-runtime,browser-types,paths,pins-store	n	n	n	n	n	n
browser-stream.ts	329	6	browser-service,browser-types	n	n	y	n	n	n
browser-types.ts	234	31		n	n	n	n	n	n
cgroups.ts	345	12	io	y	y	n	n	n	n
claude-transcript.ts	1044	17	observed-human-input	y	n	n	n	n	n
codex-runtime.ts	649	24	io	n	y	n	n	y	y
